Character,Middle Chinese,Cantonese,Mandarin
任,nyim1,jam4,ren2
仿,phjwang2,fong2,fang3
伀,tsyowng1,zung1,zhong1
企,khje2,kei5,qi3
伃,yo1,jyu4,yu2
伄,tew3,diu3,diao4
伆,mjun2,mat6,wu4
伈,sim2,sam2,xin3
伉,khang3,kong3,kang4
伊,ʔij1,ji1,yi1
伋,kip4,kap1,ji2
伍,ngu2,ng5,wu3
伎,gje2,gei6,ji4
伎,gje1,kei4,qi2
伏,bjuwk4,buk6,fu2
伏,bjuw3,fau6,fu4
伐,bjwot4,fat6,fa2
休,xjuw1,jau1,xiu1
伭,hen1,jin4,xian2
伯,pæk4,baak3,bo2
估,ku2,gu2,gu1
伴,bwan2,bun6,ban4
伶,leng1,ling4,ling2
伷,drjuw3,zau6,zhou4
伸,syin1,san1,shen1
伹,tshjo1,ceoi1,qu1
伺,si3,zi6,si4
伺,si3,zi6,ci4
伻,phɛng1,ping4,beng1
似,zi2,ci5,si4
伽,gjwa1,ke4,qie2
伾,phij1,pei1,pi1
伿,tsye3,ji6,yi4
佁,yi2,ji4,yi3
佂,tsyieng1,zing1,zheng1
佃,den1,tin4,tian2
佃,den3,din6,dian4
佅,mæj3,maai6,mai4
但,dan1,daan6,dan4
佇,drjo2,cyu5,zhu4
佈,pu3,bou3,bu4
佉,khjwa1,keoi1,qu1
佊,pje2,bei2,bi3
佋,dzyew2,siu6,shao4
佌,tshje2,ci2,ci3
位,hjwij3,wai6,wei4
低,tej1,dai1,di1
住,drju3,zyu6,zhu4
佐,tsa3,zo3,zuo3
佑,hjuw3,jau6,you4
佒,ʔang1,joeng2,yang1
体,bwon2,ban6,ben4
佖,bit4,bit1,bi4
佗,da1,to4,tuo2
佗,tha1,to1,tuo1
余,yo1,jyu4,yu2
佚,yit4,jat6,yi4
佛,bjut4,fat6,fo2
作,tsu3,zok3,zuo4
佝,xuw3,kau3,gou1
佞,neng3,ning6,ning4
佟,downg1,tung4,tong2
佩,bwoj3,pui3,pei4
佫,hak4,hok6,he4
佯,yang1,joeng4,yang2
佰,mæk4,mak6,mo4
佳,kɛɨ1,gaai1,jia1
佴,nyi3,ji6,er4
佴,noj3,noi6,nai4
併,pjieng2,bing3,bing4
佶,git4,gat1,ji2
佸,kwat4,kut3,huo2
佹,kjwe2,gwai2,gui3
佺,tshjwen1,cyun4,quan2
佻,thew1,tiu4,tiao1
佻,dew1,tiu4,tiao2
佼,hæw2,gaau2,jiao3
佽,tshij3,ci3,ci4
佾,yit4,jat6,yi4
使,sri2,sai2,shi3
使,sri3,si3,shi3
侀,heng1,jing4,xing2
侁,srin1,san1,shen1
侂,thak4,tok3,tuo1
侃,khan2,hon2,kan3
侅,khoj1,goi1,gai1
來,loj1,loi4,lai2
侈,tshye2,ci2,chi3
例,ljej3,lai6,li4
侍,dzyi3,si6,shi4
侎,mje2,mei5,mi3
侏,tsyu1,zyu1,zhu1
侐,xwij3,gwik1,xu4
侑,hjuw3,jau6,you4
侒,ʔan1,on1,an1
侔,mjuw1,mau4,mou2
侖,lwin1,leon4,lun2
侗,duwng1,tung4,tong2
侘,trhæ1,caa3,cha4
侙,trhik4,cik1,chi1
侚,zwin3,seon1,xun4
供,kjowng1,gung1,gong1
供,kjowng3,gung3,gong4
侜,trjuw1,zau1,zhou1
依,ʔjɨj1,ji1,yi1
侮,mju2,mou5,wu3
侯,huw1,hau4,hou2
侲,tsyin3,zan3,zhen4
侳,tsjwa1,co3,zuo4
侵,tshim1,cam1,qin1
侶,ljo2,leoi5,lü3
侹,theng2,ting2,ting3
侺,dzyim3,sam6,shen4
侻,thwat4,tyut3,tuo1
便,bjen3,bin6,bian4
便,bjen1,pin4,pian2
俁,ngju2,jyu5,yu3
係,kej3,hai6,xi4
促,tshjowk4,cuk1,cu4
俄,nga1,ngo4,e2
俅,gjuw1,kau4,qiu2
俆,zjo1,ceoi4,xu2
俇,gjwang2,gwaang6,guang4
俊,tswin3,zeon3,jun4
俋,drip4,jap1,yi4
俍,lang2,loeng4,liang2
俎,tsrjo2,zo2,zu3
俏,tshjew3,ciu3,qiao4
俑,thuwng1,jung2,yong3
俒,hwon1,wan6,hun4
俓,ngen1,ging3,jing4
俔,hen2,jin5,xian4
俕,som3,saam3,san4
俖,phoj2,pui2,pei3
俗,zjowk4,zuk6,su2
俘,phju1,fu1,fu2
俙,xjɨj1,hei1,xi1
俚,li2,lei5,li3
俜,pheng1,ping1,ping1
保,paw2,bou2,bao3
俞,yu1,jyu4,yu2
俞,yu1,cau3,chou4
俟,zri2,zi6,si4
俟,gjɨj1,kei4,qi2
俠,hep4,hap6,xia2
信,sin3,seon3,xin4
修,sjuw1,sau1,xiu1
俯,pju2,fu2,fu3
俰,hwa3,wo6,huo4
俱,kju1,keoi1,ju4
俳,bɛj1,paai4,pai2
俴,dzjen2,cin5,jian4
俵,pjew3,biu2,biao4
俶,tshyuwk4,cuk1,chu4
俸,puwng2,fung2,feng4
俹,ʔæ3,aa3,ya4
俺,ʔjem3,jim3,yan4
俾,pje2,bei2,bi3
倀,trhjang1,coeng1,chang1
倃,kaw1,gau6,jiu4
倄,hæw1,haau4,yao2
倅,tshwoj3,ceoi3,cui4
倇,ʔjwon2,jyun2,wan3
倈,li1,loi4,lai2
倉,tshang1,cong1,cang1
個,ka3,go3,ge4
倌,kwan1,gun1,guan1
倍,boj2,pui5,bei4
倐,syuwk4,suk1,shu1
倒,taw2,dou2,dao3
倒,taw3,dou3,dao4
倓,dam1,taam4,tan2
倔,gjut4,gwat6,jue2
倕,dzywe1,seoi4,chui2
倖,hɛng2,hang6,xing4
倗,bong1,pang4,peng2
候,huw3,hau6,hou4
倚,ʔje2,ji2,yi3
倜,thek4,tik1,ti4
倝,kan3,gon3,gan4
倞,gjæng3,ging6,jing4
借,tsjæ3,ze3,jie4
倠,xwij1,seoi1,hui1
倡,tshyang3,coeng3,chang4
倡,tshyang1,coeng1,chang1
倢,dzjep4,zit6,jie2
倥,khuwng1,hung1,kong1
倥,khuwng2,hung2,kong3
倦,gjwen3,gyun6,juan4
倧,tsowng1,zung1,zong1
倨,kjo3,geoi3,ju4
倩,tshen3,sin6,qian4
倩,tshjieng3,cing3,qing4
倪,ngej1,ngai4,ni2
倫,lwin1,leon4,lun2
倬,træwk4,coek3,zhuo1
倭,ʔwa1,wo1,wo1
倭,ʔjwe1,wai1,wei1
