Character,Middle Chinese,Cantonese,Mandarin
牲,sræng1,saang1,sheng1
牴,tej2,dai2,di3
牷,dzjwen1,cyun4,quan2
牸,dzi3,zi6,zi4
特,dok4,dak6,te4
牻,mæwng1,mong4,mang2
牼,khɛng1,hang1,keng1
牽,khen1,hin1,qian1
牿,kowk4,guk1,gu4
犀,sej1,sai1,xi1
犁,lej1,lai4,li2
犄,ʔje1,ji2,yi1
犅,kang1,gong1,gang1
犆,drik4,zik6,zhi2
犇,pwon1,ban1,ben1
犉,nywin1,seon4,chun2
犌,kæ1,gaa1,jia1
犍,kjon1,gin1,jian1
犍,gjen1,kin4,qian2
犎,pjowng1,fung1,feng1
犒,khaw3,hou3,kao4
犖,læwk4,lok3,luo4
犗,kæj3,gaai3,jie4
犚,ʔjwɨj3,wai3,wei4
犛,li1,lei4,mao2
犢,duwk4,duk6,du2
犣,ljep4,lip6,lie4
犧,xje1,hei1,xi1
犨,tshyuw1,cau4,chou1
犩,ngjwɨj1,ngai4,wei2
犪,gwij1,kwai4,kui2
犮,bwat4,bat6,ba2
犯,bjom2,faan6,fan4
犰,gjuw1,kau4,qiu2
犴,ngan1,ngon6,an4
犺,khang3,kong3,kang4
犽,ngæ3,ngaa4,ya2
犿,xwan1,bin6,huan1
狀,dzrjang3,zong6,zhuang4
狁,ywin2,wan5,yun3
狂,gjwang1,kwong4,kuang2
狃,nrjuw2,nau2,niu3
狄,dek4,dik6,di2
狊,kwek4,gwik1,ju2
狋,ngij1,ngan4,yi2
狍,bæw1,paau4,pao2
狎,hæp4,haap6,xia2
狐,hu1,wu4,hu2
狑,leng1,ling4,ling2
狒,bjwɨj3,fei6,fei4
狔,nrje2,nei5,ni3
狖,yuw3,jau6,you4
狙,tshjo1,zeoi1,ju1
狚,tan2,daan3,dan4
狡,kæw2,gaau2,jiao3
狦,sræn1,saan1,shan1
狨,nyuwng1,jung4,rong2
狩,syuw3,sau2,shou4
狳,yo1,jyu4,yu2
狴,pej1,bai6,bi4
狵,mæwng1,mong4,mang2
狷,kwen3,gyun3,juan4
狸,li1,lei4,li2
狹,hɛp4,haap6,xia2
狺,ngin1,ngan4,yin2
狻,swan1,syun1,suan1
狼,lang1,long4,lang2
狽,paj3,bui3,bei4
狾,tsyej3,zai3,zhi4
狿,yen1,jin4,yan2
猇,hæw1,haau1,xiao1
猈,bɛj1,baa6,ba4
猊,ngej1,ngai4,ni2
猋,pjew1,biu1,biao1
猌,ngin3,jan6,yin4
猏,ken1,gin1,jian1
猑,kwon1,kwan1,kun1
猒,ʔjem1,ngaat3,yan4
猖,tshyang1,coeng1,chang1
猘,kjej3,zai3,she1
猙,tsrɛng1,zang1,zheng1
猛,mæng2,maang5,meng3
猜,tshoj1,caai1,cai1
猝,tshwot4,cyut3,cu4
猢,hu1,wu4,hu2
猣,tsuwng1,zung1,zong1
猥,ʔwoj2,wai2,wei3
猦,pjuwng1,fung1,feng1
猩,sræng1,sing1,xing1
猰,ʔɛt4,jaak3,ya4
猱,naw1,naau4,nao2
猲,xjot4,hit3,ge2
猳,kæ1,gaa1,jia1
猴,huw1,hau4,hou2
猵,pen1,bin1,bian1
猶,yuw1,jau4,you2
猷,yuw1,jau4,you2
猺,yew1,jiu4,yao2
猻,swon1,syun1,sun1
猼,pwak4,pok3,bo2
猾,hwɛt4,waat6,hua2
猿,hjwon1,jyun4,yuan2
獃,ngoj1,daai1,dai1
獄,ngjowk4,juk6,yu4
獅,srij1,si1,shi1
獍,kjæng3,ging3,jing4
獎,tsjang2,zoeng2,jiang3
獐,tsyang1,zoeng1,zhang1
獑,dzrɛm1,caam4,chan2
獒,ngaw1,ngou4,ao2
獘,bjej3,bai6,bi4
獚,hwang1,wong4,huang2
獝,xwit4,wat6,yu4
獠,lew1,liu4,liao2
獠,træw2,lou5,lao3
獡,syak4,coek3,que4
獢,xjew1,hiu1,xiao1
獧,kwen3,gyun3,juan4
獨,duwk4,duk6,du2
獩,ʔjwoj3,wai3,hui4
獪,kwaj3,kui2,kuai4
獫,ljem1,him2,xian3
獬,hɛɨ2,haai5,xie4
獮,sjen2,sin2,xian3
獯,xjun1,fan1,xun1
獰,nræng1,ning4,ning2
獱,bin1,ban1,pin2
獲,hwɛk4,wok6,huo4
獳,nyu1,nau6,nou4
獵,ljep4,lip6,lie4
獷,kjwang2,gwong2,guang3
獸,syuw3,sau3,shou4
獺,that4,caat3,ta3
獻,xjon3,hin3,xian4
獼,mje1,mei4,mi2
獽,nyang1,joeng4,rang2
獾,xwan1,fun1,huan1
獿,naw1,naau4,nao2
玄,hwen1,jyun4,xuan2
玆,hwen1,zi1,zi1
率,srwij3,seot1,shuai4
玈,lu1,lou4,lu2
玉,ngjowk4,juk6,yu4
玊,sjuwk4,suk1,su4
王,hjwang1,wong4,wang2
王,hjwang3,wong6,wang4
玎,trɛng1,ding1,ding1
玒,kuwng1,hung4,hong2
玓,tek4,dik1,di4
玖,kjuw2,gau2,jiu3
玗,hju1,jyu1,yu2
玘,khi2,hei2,qi3
玠,kɛj3,gaai3,jie4
玢,pin1,fan1,bin1
玤,bæwng2,bung2,bang4
玥,ngjwot4,jyut6,yue4
玦,kwet4,kyut3,jue2
玧,ywin2,mun4,men2
玨,kæwk4,gok3,jue2
玩,ngwan3,wun6,wan2
玪,kɛm1,gaam1,jian1
玫,mwoj1,mui4,mei2
玭,bin1,pan4,pin2
玲,leng1,ling4,ling2
玳,doj3,doi6,dai4
玷,tem2,dim3,dian4
玻,phwa1,bo1,bo1
玼,dzje1,ci2,ci3
玿,dzyew1,siu4,shao2
珀,phæk4,paak3,po4
珂,kha1,o1,ke1
珄,sræng1,sang1,sheng1
珆,yij1,ji4,yi2
珇,tsu2,zou2,zu3
珈,kæ1,gaa1,jia1
珊,san1,saan1,shan1
珌,pit4,bit1,bi4
珍,trin1,zan1,zhen1
珓,kæw3,gaau3,jiao4
珕,lje3,lai6,li4
珙,kjowng1,gung2,gong3
珞,lak4,lok3,luo4
珠,tsyu1,zyu1,zhu1
珢,ngin1,an4,yin2
珣,swin1,seon1,xun2
珥,nyi3,nei6,er3
珦,syang3,hoeng3,xiang4
珧,yew1,jiu4,yao2
珨,hɛp4,hap6,xia2
珩,hæng1,hang4,heng2
珪,kwej1,gwai1,gui1
珬,swit4,seot1,xu4
班,pæn1,baan1,ban1
珮,bwoj3,pui3,pei4
珵,drjieng1,cing4,cheng2
珷,mju2,mou5,wu3
珸,ngu1,ng4,wu2
珽,theng2,ting2,ting3
現,hen3,jin6,xian4
琀,hom3,ham3,han2
琁,zjwen1,syun4,xuan2
琁,zjwen1,king4,qiong2
琂,ngjon1,jin4,yan2
球,gjuw1,kau4,qiu2
琅,lang1,long4,lang2
理,li2,lei5,li3
琇,yuw2,sau3,xiu4
琉,ljuw1,lau4,liu2
琚,kjo1,geoi1,ju1
琟,ywij1,wai4,wei2
琢,træwk4,doek3,zhuo2
琤,tshræng1,zaang1,cheng1
琥,xu2,fu2,hu3
琦,gje1,kei4,qi2
琨,kwon1,gwan1,kun1
琪,gi1,kei4,qi2
琫,puwng2,bung2,beng3
琬,ʔjwon2,jyun2,wan3
琭,luwk4,luk6,lu4
琮,dzowng1,cung4,cong2
琯,kwan2,gun2,guan3
琰,yem2,jim5,yan3
琲,bwoj2,bei3,bei4
琳,lim1,lam4,lin2
琴,gim1,kam4,qin2
琵,bij1,pei4,pi2
琶,bæ1,paa4,pa2
琿,hwon1,wan4,hui1
瑁,maw3,mou6,mao4
瑁,mwoj3,mui6,mao4
瑃,trhwin1,ceon1,chun1
瑄,sjwen1,syun1,xuan1
瑅,dej1,tai4,ti2
瑊,tsyim1,zam1,jian1
瑋,hjwɨj2,wai5,wei3
瑑,drjwen2,syun6,zhuan4
瑒,dræng2,coeng3,chang4
瑒,yang1,joeng4,yang2
瑕,hæ1,haa4,xia2
瑖,twan3,dyun3,duan4
瑚,hu1,wu4,hu2
瑛,ʔjæng1,jing1,ying1
瑜,yu1,jyu4,yu2
瑝,hwæng1,waang4,huang2
瑞,dzywe3,seoi6,rui4
瑟,srit4,sat1,se4
瑣,swa2,so2,suo3
瑤,yew1,jiu4,yao2
瑨,tsin3,zeon3,jin4
瑩,hjwæng1,jing4,ying2
瑪,mæ2,maa5,ma3
瑭,dang1,tong4,tang2
瑰,hwoj1,gwai1,gui1
瑱,then3,tin3,tian4
瑱,trin3,zan3,zhen4
瑳,tsha1,co1,cuo3
瑵,tsræw2,zou2,zhao3
瑽,tshjowng1,cung1,cong1
瑾,gin3,gan2,jin3
璀,tshwoj2,ceoi2,cui3
璂,gi1,kei4,qi2
璃,lje1,lei4,li2
璅,tsaw2,so2,suo3
璆,gjuw1,kau4,qiu2
璇,zjwen1,syun4,xuan2
璉,ljen2,lin5,lian3
璊,mwon1,mun4,men2
璋,tsyang1,zoeng1,zhang1
璐,lu3,lou6,lu4
璑,mju1,mou4,wu2
璗,dang2,dong6,dang4
璘,lin1,leon4,lin2
璙,lew1,liu4,liao2
璚,gjwieng1,king4,qiong2
璜,hwang1,wong4,huang2
璞,phæwk4,pok3,pu2
璟,ʔjæng2,ging2,jing3
璠,bjwon1,faan4,fan2
璣,kjɨj1,gei1,ji1
璦,ʔoj3,oi3,ai4
璧,pjiek4,bik1,bi4
璨,tshan3,caan3,can4
璩,gjo1,keoi4,qu2
璪,tsaw2,zou2,zao3
璫,tang1,dong1,dang1
璭,kwon3,gun2,gun4
環,hwæn1,waan4,huan2
璱,srit4,sat1,se4
璵,yo1,jyu4,yu2
璷,ljo1,lou4,lu2
璺,mjun3,man6,wen4
璽,sje2,saai2,xi3
璿,zjwen1,syun4,xuan2
瓁,ngwak4,wok6,wo4
瓄,duwk4,duk6,du2
瓅,lek4,lik1,li4
瓈,lej1,lei4,li2
瓊,gjwieng1,king4,qiong2
瓏,luwng1,lung4,long2
瓔,ʔjieng1,jing1,ying1
瓖,sjang1,soeng1,xiang1
瓗,ywe3,kwai4,qiong2
瓘,kwan3,gun3,guan4
瓛,hwan1,wun4,huan2
瓜,kwæ1,gwaa1,gua1
瓝,bæwk4,bok3,bo2
瓟,bæw1,bok6,bo2
瓠,hu3,wu6,hu4
瓠,hu1,wu4,hu2
瓢,bjew1,piu4,piao2
瓣,bɛn3,baan6,ban4
瓤,nyang1,nong4,rang2
瓦,ngwæ2,ngaa5,wa3
瓦,ngwæ3,ngaa6,wa4
瓬,pjwang2,fong2,fang3
瓴,leng1,ling4,ling2
瓵,yi1,ji4,yi2
瓶,beng1,ping4,ping2
瓷,dzij1,ci4,ci2
瓹,kwen3,gyun1,juan1
瓽,tang3,dong6,dang4
瓿,bju1,bau6,bu4
甀,drjwe1,zeoi6,zhui4
甂,pen1,bin1,bian1
甃,tsrjuw3,zau3,zhou4
甄,tsyin1,jan1,zhen1
甈,ngej3,hei3,qi4
甌,ʔuw1,au1,ou1
甍,mɛng1,mang4,meng2
甐,lin3,leon4,lin2
甑,tsing3,zang6,zeng4
甒,mju2,mou5,wu3
甓,bek4,pik1,pi4
甕,ʔuwng3,ung3,weng4
甗,ngjon1,jin5,yan3
甘,kam1,gam1,gan1
甚,dzyim2,sam6,shen4
甜,dem1,tim4,tian2
生,sræng1,saang1,sheng1
甡,srin1,san1,sheng1
產,srɛn2,caan2,chan3
甥,sræng1,saang1,sheng1
甦,su1,sou1,su1
用,yowng3,jung6,yong4
甫,pju2,fu2,fu3
甫,pju2,fu2,fu3
甫,pju2,fu2,fu3
甬,yowng2,jung2,yong3
田,den1,tin4,tian2
由,yuw1,jau4,you2
甲,kæp4,gaap3,jia3
申,syin1,san1,shen1
甶,pjut4,fat6,fu2
男,nom1,naam4,nan2
甸,den3,din6,dian4
甹,pheng1,ping1,ping1
甾,tsri1,zi1,zi1
甿,mɛng1,man4,meng2
畀,pij3,bei2,bi4
畇,swin1,wan4,yun2
畈,pjwon3,faan3,fan4
畋,den1,tin4,tian2
畎,kwen2,hyun2,quan3
畏,ʔjwɨj3,wai3,wei4
畐,bjuwk4,fuk6,fu2
畔,bwan3,bun6,pan4
留,ljuw1,lau4,liu2
畚,pwon2,bun2,ben3
畛,tsyin1,zan2,zhen3
畜,xjuwk4,cuk1,xu4
畜,trhjuw3,cuk1,chu4
畝,muw2,mau5,mu3
畟,tshrik4,cak1,ce4
畢,pit4,bat1,bi4
畣,top4,daap3,da2
畤,tsyi2,zi6,zhi4
略,ljak4,loek6,lüe4
畦,hwej1,kwai4,qi2
番,phjwon1,faan1,fan1
番,phwan1,pun1,pan1
畫,hwɛk4,waak6,hua4
畫,hwɛɨ3,waa6,hua4
畬,yo1,jyu4,yu2
畯,tswin3,zeon3,jun4
異,yi3,ji6,yi4
畲,syæ1,se4,she1
當,tang1,dong1,dang1
當,tang3,dong3,dang4
當,tang3,dong1,dang4
畷,trjwej3,zyut3,zhui4
畸,kje1,gei1,ji1
畹,ʔjwon2,jyun2,wan3
畾,lwoj1,leoi4,lei2
畿,gjɨj1,gei1,ji1
疃,thwan2,tyun2,tuan3
疄,lin1,leon4,lin2
疆,kjang1,goeng1,jiang1
疇,drjuw1,cau4,chou2
疊,dep4,daap6,die2
疌,dzjep4,zit6,jie2
疏,srjo1,so1,shu1
疏,srjo3,so3,shu1
疐,trij3,zi3,zhi4
疐,tej3,dai3,di4
疑,ngi1,ji4,yi2
疕,phje2,pei2,bi3
疚,kjuw3,gau3,jiu4
疝,srɛn1,saan3,shan4
疢,trhin3,can3,chen4
疣,hjuw1,jau4,you2
疥,kɛj3,gaai3,jie4
疧,gje1,kei4,qi2
疫,ywek4,jik6,yi4
疰,tsyu3,jyu3,zhu4
疲,bje1,pei4,pi2
疵,dzje1,ci1,ci1
疶,sjet4,sit3,xue1
疸,tan2,taan2,dan3
疹,tsyin2,can2,zhen3
疼,downg1,tang4,teng2
疽,tshjo1,zeoi1,ju1
疾,dzit4,zat6,ji2
痀,kju1,keoi1,gou1
痁,syem1,sim1,shan1
痁,tem3,dim3,dian4
痂,kæ1,gaa1,jia1
痃,hen1,jin4,xuan2
痄,tsræ2,zaa3,zha4
病,bjæng3,beng6,bing4
痊,tshjwen1,cyun4,quan2
痌,thuwng1,tung1,tong1
痍,yij1,ji4,yi2
痎,kɛj1,gaai1,jie1
痑,than1,taan1,tan1
痒,zjang1,joeng4,yang2
痓,tshyij3,ci3,chi4
痔,dri2,zi6,zhi4
痕,hon1,han4,hen2
痗,mwoj3,fui3,mei4
痙,gjieng2,ging6,jing4
痛,thuwng3,tung3,tong4
痝,mæwng1,mong4,mang2
痞,pij2,pei2,pi3
痟,sjew1,siu1,xiao1
痠,swan1,syun1,suan1
痡,phju1,fu1,pu1
痢,lij3,lei1,li4
痣,tsyi3,zi3,zhi4
痤,dzwa1,co4,cuo2
痯,kwan2,gun2,guan3
痰,dam1,taam4,tan2
痱,bjwɨj1,fai2,fei4
痲,mæ1,maa4,ma2
痴,trhi1,ci1,chi1
痵,gwij3,gwai3,ji4
痸,tshyej3,cai3,chi4
痺,pje1,bei3,bi4
痼,ku3,gu3,gu4
痾,ʔa1,o1,ke1
痿,ʔjwe1,wai2,wei3
瘀,ʔjo3,jyu2,yu1
瘁,dzwij3,seoi6,cui4
瘃,trjowk4,zuk1,zhu2
瘊,huw1,hau4,hou2
瘌,lat4,laat6,la4
瘍,yang1,joeng4,yang2
瘏,du1,tou4,tu2
瘑,kwa1,gwo1,gua1
瘓,thwan2,wun6,huan4
瘕,kæ1,gaa2,jia3
瘙,saw3,sou3,sao4
瘛,hej3,kai3,chi4
瘞,ʔjej3,ji3,yi4
瘠,dzjek4,zik3,ji2
瘡,tshrjang1,cong1,chuang1
瘢,bwan1,baan1,ban1
瘤,ljuw1,lau4,liu2
瘥,dza1,co4,cuo2
瘥,tshrɛɨ3,caai3,chai4
瘦,srjuw3,sau3,shou4
瘧,ngjak4,joek6,nüe4
瘨,ten1,din1,chen1
瘭,pjew1,biu1,biao1
瘯,tshuwk4,cuk1,cu4
瘰,lwa2,lo2,luo3
瘲,tsjowng3,zung3,zong4
瘳,trhjuw1,cau1,chou1
瘴,tsyang3,zoeng3,zhang4
瘵,tsrɛj3,zaai3,zhai4
瘶,suw3,sau3,sou4
瘸,gjwa1,ke4,que2
瘼,mak4,mok6,mo4
瘽,gjɨn1,kan4,qin2
癀,hwang1,wong4,huang2
療,ljew3,liu4,liao2
癇,hɛn1,haan4,xian2
癈,pjwoj3,fai3,fei4
癉,tan1,daan1,dan4
癑,nuwng3,nung6,nong4
癖,phjiek4,pik1,pi3
癗,lwoj2,leoi5,lei3
癘,ljej3,lai6,li4
癙,syo2,syu2,shu3
癟,bet4,bit6,bie3
癠,dzej1,zai3,ji2
癡,trhi1,ci1,chi1
癢,yang2,joeng5,yang3
癤,tset4,zit3,jie2
癥,tring1,zing1,zheng1
癩,laj3,laai6,lai4
癬,sjen2,sin2,xuan3
癭,ʔjieng2,jing2,ying3
癯,gju1,keoi4,qu2
癰,ʔjowng1,jung1,yong1
癲,ten1,din1,dian1
癶,pwat4,but6,bo1
癸,kwij2,gwai3,gui3
癹,bwat4,bat6,ba2
登,tong1,dang1,deng1
發,pjwot4,faat3,fa1
皀,xjang1,bik1,ji2
的,tek4,dik1,di4
皆,kɛj1,gaai1,jie1
皇,hwang1,wong4,huang2
皉,tshej2,ci2,ci3
皋,kaw1,gou1,gao1
皎,kew2,gaau2,jiao3
皕,pik4,bik1,bi4
皙,sek4,sik1,xi1
皚,ngoj1,ngoi4,ai2
皛,hew2,jiu5,xiao3
皝,hwang2,fong2,huang4
皢,xew2,hiu2,xiao3
皤,bwa1,po4,po2
皦,kew2,giu2,jiao3
皪,lek4,lik6,li4
皭,tsjew3,zoek3,cu3
皮,bje1,pei4,pi2
皯,kan2,gon2,gan3
皰,phæw3,paau3,pao4
皴,tshwin1,seon1,cun1
皵,tshjak4,cik1,que4
皸,kjun1,gwan1,jun1
皺,tsrjuw3,zau3,zhou4
皻,tsræ1,zaa1,zha1
皽,tsyew1,zin2,zhao1
皿,mjæng2,ming5,min3
盂,hju1,jyu4,yu2
盆,bwon1,pun4,pen2
盈,yieng1,jing4,ying2
盉,hwa1,ho2,he2
益,ʔjek4,jik1,yi4
盍,hap4,hap6,he2
盎,ʔang2,ong3,ang4
盒,hop4,hap6,he2
盓,ʔu1,jyu1,yu1
盔,khwoj1,kwai1,kui1
盛,dzyieng1,sing4,cheng2
盛,dzyieng3,sing6,sheng4
盜,daw3,dou6,dao4
盝,luwk4,luk6,lu4
盞,tsrɛn2,zaan2,zhan3
盟,mjæng1,mang4,meng2
盟,mæng3,maang6,meng4
盠,lej1,lai4,li2
盡,dzin2,zeon6,jin4
監,kæm1,gaam1,jian1
監,kæm3,gaam3,jian4
盤,bwan1,pun4,pan2
盥,kwan2,gun3,guan4
盦,ʔom1,am1,an1
盧,lu1,lou4,lu2
盨,srjo2,seoi2,xu3
盩,trjuw1,zau1,zhou1
盪,thang1,dong6,dang4
盬,ku1,gu2,gu3
目,mjuwk4,muk6,mu4
盯,dræng1,ding1,ding1
盱,xju1,heoi1,xu1
盲,mæng1,maang4,mang2
直,drik4,zik6,zhi2
盷,hwen1,jyun4,tian2
相,sjang1,soeng1,xiang1
相,sjang3,soeng3,xiang4
盹,tsywin3,deon6,dun3
盼,phɛn3,paan3,pan4
盾,zywin2,teon5,dun4
省,srjæng2,saang2,sheng3
省,sjieng2,sing2,xing3
眄,men2,min5,mian3
眅,phæn1,paan1,pan1
眇,mjew2,miu5,miao3
眈,dom1,daam1,dan1
眉,mij1,mei4,mei2
眊,maw3,mou6,mei4
看,khan3,hon3,kan4
看,khan1,hon1,kan1
眑,ʔæw1,jiu2,yao3
眒,syin1,san1,shen1
眔,dop4,daap6,da4
眕,tsyin2,can2,zhen3
眙,yi1,ci3,chi4
眚,srjæng2,saang2,sheng3
眛,mwoj3,mui6,mei4
真,tsyin1,zan1,zhen1
眠,men1,min4,mian2
眣,trhit4,dit6,die2
眥,dzje3,zaai6,zi4
眧,tshyew2,ciu1,chao3
眨,tsrɛp4,zaap3,zha3
眩,hwen1,jyun6,xuan4
眭,xjwe1,seoi1,hui1
眭,sjwe1,seoi1,sui1
眭,hwej1,kwai4,xie2
眯,mej2,mai5,mi2
眱,yij1,ji4,di4
眳,mjieng2,ming4,ming2
眴,swin1,hyun3,xuan4
眵,tsye1,ci1,chi1
眶,khjwang1,kwaang1,kuang4
眷,kjwen3,gyun3,juan4
眸,mjuw1,mau4,mou2
眹,drin2,zan6,zhen4
眺,thew3,tiu3,tiao4
眼,ngɛn2,ngaan5,yan3
眾,tsyuwng3,zung3,zhong4
眾,tsyuwng1,zung1,zhong1
睅,hwæn2,hon6,han4
睆,hwæn2,wun2,huan3
睇,thej1,tai2,di4
睋,nga1,ngo4,e2
睍,hen2,jin5,xian4
睎,xjɨj1,hei1,xi1
睒,syem2,sim2,shan3
睔,hwon2,gwan3,gun4
睘,gjwieng1,king4,qiong2
睚,ngɛɨ3,ngaai4,ya2
睛,tsjieng1,zing1,jing1
睞,loj3,loi6,lai4
睟,swij3,seoi3,sui4
睡,dzywe3,seoi6,shui4
睢,xjwe1,zeoi1,sui1
督,towk4,duk1,du1
睥,phej3,pai5,pi4
睦,mjuwk4,muk6,mu4
睨,ngej3,ngai6,ni4
睩,luwk4,luk1,lu4
睩,luwk4,luk6,lu4
睪,yek4,jik6,yi4
睫,tsjep4,zit6,jie2
睲,sjieng2,sing2,xing3
睴,hwon2,gwan3,hun4
睹,tu2,dou2,du3
睼,then3,tai4,tian4
睽,khwej1,kwai4,kui2
睿,ywej3,haai6,rui4
瞀,muw3,mau6,mao4
瞁,xjwek4,hik1,xu4
瞂,bjwot4,fat6,fa2
瞉,khuw3,gai3,kou4
瞋,tshyin1,can1,chen1
瞍,sew1,sau2,sou3
瞎,xæt4,hat6,xia1
瞐,mæwk4,mok6,mo4
瞑,meng1,ming4,ming2
瞑,men3,min6,mian4
瞘,ʔuw1,kau1,kou1
瞙,mak4,mok6,mo4
瞜,luw1,lau1,lou1
瞞,mwan1,mun4,man2
瞟,phjew1,piu5,piao3
瞠,trhæng1,caang1,cheng1
瞡,kjwe3,kwai1,gui1
瞥,phet4,pit3,pie1
瞪,drɛng1,dang1,deng4
瞫,syim2,sam2,shen3
瞬,sywin3,seon3,shun4
瞭,lew1,liu5,liao3
瞰,kham3,ham3,kan4
瞲,xwet4,wat6,xu4
瞳,duwng1,tung4,tong2
瞵,lin1,leon4,lin2
瞶,ywij3,gwai3,gui4
瞶,ywij3,kui2,kui4
瞻,tsyem1,zim1,zhan1
瞼,kjem2,gim2,jian3
瞽,ku2,gu2,gu3
瞿,kju3,geoi3,ju4
瞿,gju1,keoi4,qu2
矇,muwng1,mung4,meng1
矇,muwng1,mung4,meng2
矊,mjen1,min4,mian2
矍,kjwak4,fok3,jue2
矎,xwen1,hyun3,xuan1
矐,xak4,hok3,huo4
矔,kwan3,gun3,guan4
矕,mæn2,maan5,man3
矗,tshrjuwk4,cuk1,chu4
矘,thang2,tong2,tang3
矚,tsyowk4,zuk1,zhu3
矛,mjuw1,maau4,mao2
矜,king1,ging1,jin1
矜,gin1,kan4,qin2
矞,ywit4,wat6,yu4
矢,syij2,ci2,shi3
矢,syij2,si2,shi3
矣,hji2,ji5,yi3
知,trje1,zi1,zhi1
矧,syin2,can2,shen3
矩,kju2,geoi2,ju3
矬,dzwa1,co4,cuo2
短,twan2,dyun2,duan3
矮,ʔɛɨ2,ai2,ai3
矯,kjew2,giu2,jiao3
矰,tsong1,zang1,zeng1
矲,bɛɨ2,baa6,ba4
石,dzyek4,sek6,shi2
矸,kan2,gon3,gan4
矸,kan2,hon6,han4
矺,thak4,zaak3,zhe2
矻,khwot4,ngat6,ku1
矼,kæwng1,gong1,gang1
砂,sræ1,saa1,sha1
砅,ljej3,lai6,li4
砉,xwæk4,waak6,xu1
砌,tshej3,cai3,qi4
砏,pin1,fan1,fen1
砐,ngop4,ngap6,e4
砑,ngæ3,ngaa6,ya4
研,ngen3,jin4,yan2
砟,dzak4,zok6,zuo4
砠,tshjo1,zeoi1,ju1
砢,la2,lo2,luo3
砥,tsyij1,dai2,di3
砦,dzræj3,zaai6,zhai4
砧,trim1,zam1,zhen1
砬,lip4,laa1,la2
砭,pjem1,bin1,bian1
砯,phing1,ping1,ping1
砰,phɛng1,paang1,peng1
砱,leng1,ling4,ling2
破,phwa3,po3,po4
硃,tsyu1,zyu1,zhu1
硊,ngjwe2,ngai5,wei3
硋,ngoj3,ngoi6,ai4
硌,lak4,lok6,luo4
硍,hɛn2,haan6,ken4
硎,khæng1,jing4,xing2
硐,duwng2,dung6,dong4
硜,khɛng1,hang1,keng1
硝,sjew1,siu1,xiao1
硠,lang1,long4,lang2
硤,hɛp4,haap6,xia2
硨,tshyæ1,ce1,che1
硩,trhjet4,zit3,che4
硪,nga1,ngo4,e2
硫,ljuw1,lau4,liu2
硬,ngɛng3,ngaang6,ying4
硭,mjwang1,mong4,mang2
确,hæwk4,kok3,que4
硯,ngen3,jin6,yan4
硾,drjwe3,zeoi6,zhui4
硿,khuwng1,hung1,kong1
碌,luwk4,luk1,lu4
碎,swoj3,seoi3,sui4
碏,tshjak4,coek3,que4
碑,pje1,bei1,bei1
碓,twoj3,deoi3,dui4
碔,mju2,mou5,wu3
碕,gje1,kei4,qi2
碗,ʔwan2,wun2,wan3
碞,ngim1,ngaam4,yan2
碡,duwk4,duk6,zhou2
碢,dwa1,to4,tuo2
碣,gjot4,kit3,jie2
碧,pjwiek4,bik1,bi4
碩,dzyek4,sek6,shuo4
碬,hæ1,haa4,xia2
碭,dang1,dong6,dang4
確,khæwk4,kok3,que4
碻,khæwk4,kok3,que4
碼,mæ2,maa5,ma3
碾,nrjen3,zin2,nian3
磄,dang1,tong4,tang2
磅,phang1,pong4,pang2
磅,phang1,pong4,pang1
磆,hwɛt4,waat6,hua2
磉,sang2,song2,sang3
磊,lwoj2,leoi5,lei3
磋,tsha1,co1,cuo1
磌,tsyin1,tin4,tian2
磐,bwan1,pun4,pan2
磑,ngwoj1,wai3,wei4
磓,twoj1,deoi1,dui1
磔,træk4,zaak6,zhe2
磕,khaj3,hap6,ke1
磚,tsywen1,zyun1,zhuan1
磝,ngæw1,ngou4,ao2
磟,luwk4,luk6,liu4
磡,khom3,ham3,kan4
磢,tshrjang2,cong2,qiang3
磣,tshrim2,cam2,chen3
磧,tshjek4,zik1,qi4
磨,mwa1,mo4,mo2
磨,mwa3,mo6,mo4
磩,tshek4,cik1,qi1
磬,kheng3,hing3,qing4
磯,kjɨj1,gei1,ji1
磰,dzyen2,sin6,shan4
磲,gjo1,keoi4,qu2
磳,dzring1,zang1,zeng1
磴,tong3,dang3,deng4
磷,lin1,leon4,lin2
磷,lin3,leon6,lin4
磹,dem3,taam2,dian4
磻,bwan1,pun4,bo1
磽,khæw1,haau1,qiao1
磾,tej1,dai1,di1
礎,tshrjo2,co2,chu3
礐,huwk4,kok3,que4
礒,ngje2,ngai5,yi3
礓,kjang1,goeng1,jiang1
礙,ngoj3,ngoi6,ai4
礛,kæm1,laam4,jian1
礜,yo3,jyu6,yu4
礤,tshat4,caat3,ca3
礥,hen1,jin4,xian2
礦,kwæng2,kwong3,kuang4
礧,lwoj2,leoi5,lei2
礩,tsyij3,zat1,zhi4
礪,ljej3,lai6,li4
礫,lek4,lik1,li4
礬,bjwon1,faan4,fan2
礱,luwng1,lung4,long2
礴,bwak4,bok3,bo2
示,gje1,si6,shi4
礽,nying1,jing4,reng2
社,dzyæ2,se5,she4
礿,yak4,joek6,yue4
祀,zi2,zi6,si4
祁,gij1,kei4,qi2
祆,xen1,hin1,xian1
祇,gje1,kei4,qi2
祈,gjɨj1,kei4,qi2
祉,trhi2,zi2,zhi3
祊,pæng1,bang1,beng1
祋,twaj3,deoi3,dui4
